"p31" "var" "val" "n"
"1" "Femenino" "p12" "No" 101
"2" "Femenino" "p12" "Si" 41
"3" "Femenino" "p13" "No" 139
"4" "Femenino" "p13" "Si" 2
"5" "Femenino" "p15" "No" 87
"6" "Femenino" "p15" "Si" 51
"7" "Femenino" "p16" "No" 85
"8" "Femenino" "p16" "Si" 55
"9" "Femenino" "p23" "No" 104
"10" "Femenino" "p23" "Si" 38
"11" "Femenino" "p25" "No" 87
"12" "Femenino" "p25" "Si" 56
"13" "Femenino" "p26" "No" 68
"14" "Femenino" "p26" "Si" 74
"15" "Femenino" "p27" "No" 68
"16" "Femenino" "p27" "Si" 75
"17" "Femenino" "p30" "No" 69
"18" "Femenino" "p30" "Si" 74
"19" "Femenino" "p33" "No" 114
"20" "Femenino" "p33" "Si" 29
"21" "Femenino" "p4" "No" 88
"22" "Femenino" "p4" "Si" 54
"23" "Femenino" "p6" "No" 125
"24" "Femenino" "p6" "Si" 18
"25" "Masculino" "p12" "No" 175
"26" "Masculino" "p12" "Si" 45
"27" "Masculino" "p13" "No" 215
"28" "Masculino" "p13" "Si" 7
"29" "Masculino" "p15" "No" 142
"30" "Masculino" "p15" "Si" 80
"31" "Masculino" "p16" "No" 151
"32" "Masculino" "p16" "Si" 71
"33" "Masculino" "p23" "No" 149
"34" "Masculino" "p23" "Si" 69
"35" "Masculino" "p25" "No" 132
"36" "Masculino" "p25" "Si" 90
"37" "Masculino" "p26" "No" 97
"38" "Masculino" "p26" "Si" 122
"39" "Masculino" "p27" "No" 91
"40" "Masculino" "p27" "Si" 130
"41" "Masculino" "p30" "No" 91
"42" "Masculino" "p30" "Si" 128
"43" "Masculino" "p33" "No" 153
"44" "Masculino" "p33" "Si" 69
"45" "Masculino" "p4" "No" 126
"46" "Masculino" "p4" "Si" 93
"47" "Masculino" "p6" "No" 166
"48" "Masculino" "p6" "Si" 54
