"x" "y" "z"
"1" "2" 0.72 0.72
"2" "2" 0.72 1.44
"3" "2" 0.72 2.16
"4" "2" 0.72 2.88
"5" "2" 0.72 3.6
"6" "2" 0.72 4.32
"7" "2" 0.72 5.04
"8" "2" 0.72 5.76
"9" "2" 0.24 6
"10" "3" 0.72 0.72
"11" "3" 0.72 1.44
"12" "3" 0.72 2.16
"13" "3" 0.72 2.88
"14" "3" 0.72 3.6
"15" "3" 0.72 4.32
"16" "3" 0.72 5.04
"17" "3" 0.72 5.76
"18" "3" 0.72 6.48
"19" "3" 0.72 7.2
"20" "3" 0.72 7.92
"21" "3" 0.72 8.64
"22" "3" 0.359999999999999 9
"23" "4" 0.72 0.72
"24" "4" 0.72 1.44
"25" "4" 0.72 2.16
"26" "4" 0.72 2.88
"27" "4" 0.72 3.6
"28" "4" 0.72 4.32
"29" "4" 0.72 5.04
"30" "4" 0.72 5.76
"31" "4" 0.72 6.48
"32" "4" 0.72 7.2
"33" "4" 0.72 7.92
"34" "4" 0.72 8.64
"35" "4" 0.72 9.36
"36" "4" 0.72 10.08
"37" "4" 0.72 10.8
"38" "4" 0.72 11.52
"39" "4" 0.48 12
"40" "5" 0.72 0.72
"41" "5" 0.72 1.44
"42" "5" 0.72 2.16
"43" "5" 0.72 2.88
"44" "5" 0.72 3.6
"45" "5" 0.72 4.32
"46" "5" 0.72 5.04
"47" "5" 0.72 5.76
"48" "5" 0.72 6.48
"49" "5" 0.72 7.2
"50" "5" 0.72 7.92
"51" "5" 0.72 8.64
"52" "5" 0.72 9.36
"53" "5" 0.72 10.08
"54" "5" 0.72 10.8
"55" "5" 0.72 11.52
"56" "5" 0.72 12.24
"57" "5" 0.72 12.96
"58" "5" 0.72 13.68
"59" "5" 0.72 14.4
"60" "5" 0.600000000000001 15
"61" "6" 0.72 0.72
"62" "6" 0.72 1.44
"63" "6" 0.72 2.16
"64" "6" 0.72 2.88
"65" "6" 0.72 3.6
"66" "6" 0.72 4.32
"67" "6" 0.72 5.04
"68" "6" 0.72 5.76
"69" "6" 0.72 6.48
"70" "6" 0.72 7.2
"71" "6" 0.72 7.92
"72" "6" 0.72 8.64
"73" "6" 0.72 9.36
"74" "6" 0.72 10.08
"75" "6" 0.72 10.8
"76" "6" 0.72 11.52
"77" "6" 0.72 12.24
"78" "6" 0.72 12.96
"79" "6" 0.72 13.68
"80" "6" 0.72 14.4
"81" "6" 0.72 15.12
"82" "6" 0.72 15.84
"83" "6" 0.72 16.56
"84" "6" 0.72 17.28
"85" "6" 0.72 18
"86" "6" 0 18
"87" "7" 0.72 0.72
"88" "7" 0.72 1.44
"89" "7" 0.72 2.16
"90" "7" 0.72 2.88
"91" "7" 0.72 3.6
"92" "7" 0.72 4.32
"93" "7" 0.72 5.04
"94" "7" 0.72 5.76
"95" "7" 0.72 6.48
"96" "7" 0.72 7.2
"97" "7" 0.72 7.92
"98" "7" 0.72 8.64
"99" "7" 0.72 9.36
"100" "7" 0.72 10.08
"101" "7" 0.72 10.8
"102" "7" 0.72 11.52
"103" "7" 0.72 12.24
"104" "7" 0.72 12.96
"105" "7" 0.72 13.68
"106" "7" 0.72 14.4
"107" "7" 0.72 15.12
"108" "7" 0.72 15.84
"109" "7" 0.72 16.56
"110" "7" 0.72 17.28
"111" "7" 0.72 18
"112" "7" 0.72 18.72
"113" "7" 0.72 19.44
"114" "7" 0.72 20.16
"115" "7" 0.72 20.88
"116" "7" 0.120000000000001 21
"117" "8" 0.72 0.72
"118" "8" 0.72 1.44
"119" "8" 0.72 2.16
"120" "8" 0.72 2.88
"121" "8" 0.72 3.6
"122" "8" 0.72 4.32
"123" "8" 0.72 5.04
"124" "8" 0.72 5.76
"125" "8" 0.72 6.48
"126" "8" 0.72 7.2
"127" "8" 0.72 7.92
"128" "8" 0.72 8.64
"129" "8" 0.72 9.36
"130" "8" 0.72 10.08
"131" "8" 0.72 10.8
"132" "8" 0.72 11.52
"133" "8" 0.72 12.24
"134" "8" 0.72 12.96
"135" "8" 0.72 13.68
"136" "8" 0.72 14.4
"137" "8" 0.72 15.12
